Date,Open,High,Low,Close,Adj Close,Volume
02/06/2020,49.330002,50.150002,48.889999,49.57,49.098434,4194900
03/06/2020,52.580002,54.720001,52.41,54.360001,53.842865,6452300
04/06/2020,54.470001,56.259998,53.919998,55.029999,54.506493,4785900
05/06/2020,58.119999,58.66,56.849998,57.18,56.63604,5235800
08/06/2020,57.75,58.259998,57.110001,57.919998,57.368996,4038200
09/06/2020,55.669998,55.970001,54.830002,55.110001,55.110001,3082900
10/06/2020,55.380001,55.41,53.360001,53.59,53.59,3010500
11/06/2020,50.93,51.549999,48.720001,48.970001,48.970001,5242800
12/06/2020,52.02,52.23,50.25,51.48,51.48,3247600
15/06/2020,49.599998,50.98,49.41,50.709999,50.709999,3133700
16/06/2020,53.669998,54.09,51.349998,52.209999,52.209999,3234800
17/06/2020,52.080002,52.09,51,51.349998,51.349998,2370900
18/06/2020,51.009998,52.099998,50.73,51.779999,51.779999,1485900
19/06/2020,52.490002,52.529999,50.290001,50.439999,50.439999,2471200
22/06/2020,50.700001,50.990002,50.189999,50.880001,50.880001,1212400
23/06/2020,52.369999,52.599998,51.93,52.099998,52.099998,1824100
24/06/2020,50.900002,50.939999,48.700001,48.919998,48.919998,3861600
25/06/2020,49,49.98,48.580002,49.91,49.91,1939300
26/06/2020,49.5,49.610001,47.799999,48.049999,48.049999,3122600
29/06/2020,48.630001,49.349998,48.220001,49.299999,49.299999,1582400
30/06/2020,49.099998,49.419998,48.580002,49.299999,49.299999,1731700
01/07/2020,48.41,49.68,48.41,48.970001,48.970001,2293900
02/07/2020,50.799999,51.369999,49.810001,50.110001,50.110001,2470400
06/07/2020,52.27,52.950001,51.849998,52.860001,52.860001,2567400
07/07/2020,52.490002,52.91,52.150002,52.529999,52.529999,2561300
08/07/2020,52.330002,52.939999,52.040001,52.41,52.41,1723700
09/07/2020,51.970001,52.09,50.77,51.009998,51.009998,1788900
10/07/2020,51.990002,53.82,51.93,53.759998,53.759998,2217000
13/07/2020,53.93,54,52.18,52.450001,52.450001,2094700
14/07/2020,52.07,53.119999,51.959999,53.040001,53.040001,1639100
15/07/2020,54.380001,54.990002,53.790001,54.16,54.16,2029100
16/07/2020,53.509998,54.439999,53.299999,53.91,53.91,1111200
17/07/2020,53.75,53.990002,53.380001,53.849998,53.849998,944200
20/07/2020,53.799999,53.970001,53.400002,53.580002,53.580002,1969100
21/07/2020,55,56.110001,54.889999,55.450001,55.450001,2642200
22/07/2020,54.48,54.650002,54.16,54.470001,54.470001,1800500
23/07/2020,54.779999,55.290001,54.279999,54.549999,54.549999,1481500
24/07/2020,54.220001,54.669998,54.139999,54.529999,54.529999,1085800
27/07/2020,54.23,54.490002,53.75,54.080002,54.080002,1872100
28/07/2020,54.810001,56.060001,54.77,55.639999,55.639999,1809200
29/07/2020,56.419998,56.93,56.009998,56.700001,56.700001,2879100
30/07/2020,58.299999,58.549999,56.720001,58.080002,58.080002,3639800
31/07/2020,57.290001,57.299999,54.130001,54.43,54.43,3197600
03/08/2020,54.290001,54.709999,53.650002,54.43,54.43,1814300
04/08/2020,55.630001,56.139999,55.32,55.720001,55.720001,1578000
05/08/2020,56.299999,56.34,55.490002,55.790001,55.790001,1162500
06/08/2020,53.919998,55.07,53.869999,54.880001,54.880001,1997600
07/08/2020,53.779999,54.299999,53.77,54.259998,54.259998,1351000
10/08/2020,54.27,54.740002,54.150002,54.549999,54.549999,1104200
11/08/2020,56.599998,56.740002,55.720001,55.93,55.93,1723400
12/08/2020,56.790001,57.150002,56.18,56.93,56.93,1172300
13/08/2020,56.700001,56.970001,56.25,56.34,56.34,677700
14/08/2020,56.139999,56.73,56.009998,56.220001,56.220001,850600
17/08/2020,56.32,56.509998,55.950001,56.189999,56.189999,1003500
18/08/2020,57.349998,57.459999,56.790001,57.240002,57.240002,1249000
19/08/2020,57.73,58.349998,57.209999,57.32,57.32,1549500
20/08/2020,56.299999,56.799999,56.080002,56.75,56.75,1410500
21/08/2020,55.240002,55.75,55.029999,55.619999,55.619999,1642600
24/08/2020,56.389999,57.380001,56.23,57.34,57.34,1479300
25/08/2020,58.02,58.150002,57.360001,58.09,58.09,1547400
26/08/2020,58.919998,59.689999,58.639999,59.330002,59.330002,1967800
27/08/2020,59.450001,59.599998,58.650002,58.959999,58.959999,1418100
28/08/2020,59.220001,59.310001,58.66,59.16,59.16,1214800
31/08/2020,58.919998,58.98,57.849998,58.150002,58.150002,1594800
01/09/2020,57.59,58.23,57.380001,57.619999,57.619999,1239800
02/09/2020,58.52,59.720001,58.470001,59.560001,59.560001,1344800
03/09/2020,59.919998,60.849998,58.549999,58.959999,58.959999,2148800
04/09/2020,58.73,58.950001,57.509998,58.439999,58.439999,1798400
08/09/2020,56.779999,56.939999,55.599998,55.740002,55.740002,2816000
09/09/2020,56.700001,57.610001,56.490002,57.200001,57.200001,1248200
10/09/2020,57.919998,58.049999,56.830002,56.880001,56.880001,1180000
11/09/2020,56.57,56.599998,55.830002,56.150002,56.150002,1275200
14/09/2020,56.490002,56.790001,56.16,56.25,56.25,1638400
15/09/2020,57.150002,57.150002,56.380001,56.439999,56.439999,1669600
16/09/2020,56.82,58.119999,56.459999,57.049999,57.049999,1904400
17/09/2020,57.650002,58.220001,57.16,58,58,1732200
18/09/2020,57.77,58.009998,57.099998,57.560001,57.560001,1474600
21/09/2020,54.48,54.880001,53.900002,54.459999,54.459999,2993200
22/09/2020,55.07,55.290001,53.830002,54.34,54.34,1779000
23/09/2020,54.25,54.639999,52.459999,52.529999,52.529999,2441200
24/09/2020,52.290001,53.169998,51.799999,52.880001,52.880001,1725400
25/09/2020,52.09,52.939999,51.790001,52.82,52.82,1830600
28/09/2020,54.669998,54.919998,54.220001,54.380001,54.380001,1499400
29/09/2020,54.43,54.669998,54.110001,54.279999,54.279999,1322600
30/09/2020,54.330002,55.110001,53.509998,53.880001,53.880001,1659100
01/10/2020,53.82,53.950001,53.240002,53.599998,53.599998,1141200
02/10/2020,53.009998,54.32,52.93,54,54,1203100
05/10/2020,55.23,55.639999,54.84,55.290001,55.290001,1037500
06/10/2020,57.41,57.959999,56.540001,56.82,56.82,2232600
07/10/2020,58.5,58.82,58.16,58.439999,58.439999,1910100
08/10/2020,59,59.689999,58.66,59.630001,59.630001,1740000
09/10/2020,59.599998,59.849998,59.139999,59.5,59.5,1157300
12/10/2020,59.619999,60.150002,59.599998,59.970001,59.970001,1025500
